"Send additional customer data while redirecting to SecureForm","Wysyłaj dodatkowe dane klienta podczas przekierowania do SecureForm"
"Username","Login"
"Get from <a href=""http://merchant.paylane.com"" target=""_blank"">http://merchant.paylane.com</a>","Zdobąć z <a href=""http://merchant.paylane.com"" target=""_blank"">http://merchant.paylane.com</a>"
"Password","Hasło"
"API Key","API Key"
"Overwrite Fraud check?","Nadpisać ochronę przed oszustwami?"
"Be sure that you can do a overwrite - you can check it in your <a href=""http://merchant.paylane.com"" target=""_blank"">Merchant Panel</a>","Upewnij się, że możesz zrobić to nadpisanie - możesz to sprawdzić pod adresem <a href=""http://merchant.paylane.com"" target=""_blank"">Merchant Panel</a>"
"Fraud check","Kontrola Oszustw"
"Overwrite AVS check level?","Nadpisać poziom sprawdzania AVS?"
"AVS check level","Poziom sprawdzania AVS"
"3DS check","Sprawdź 3DS"
"Blocked amount in authorization process","Zablokowana kwota w procesie autoryzacji"
"Set in default store currency","Ustaw w domyślnej walucie sklepu"
"Enable Single-click payment","Włącz płatność jednym kliknięciem"
"More info about Single click available at <a href=""http://devzone.paylane.pl/api/karty/platnosci-single-click/"" target=""_blank"">http://devzone.paylane.pl/api/karty/platnosci-single-click/</a>","Więcej informacji o płatności jednym kliknięciem pod <a href=""http://devzone.paylane.pl/api/karty/platnosci-single-click/"" target=""_blank"">http://devzone.paylane.pl/api/karty/platnosci-single-click/</a>"
"PayLane | Bank transfer","PayLane | Przelew Bankowy"
"API Username","Login API"
"API Password","Hasło API"
"PayLane | Credit card","PayLane | Karta Kredytowa"
"PayLane | SecureForm","PayLane | SecureForm"
"PayLane | PayPal","PayLane | PayPal"
"PayLane | Direct Debit","PayLane | Polecenie Zapłaty"
"Mandate ID","Mandate ID"
"PayLane | SOFORT Banking","PayLane | Bankowość SOFORT"
"PayLane | iDEAL","PayLane | iDEAL"
"PayLane | Apple Pay","PayLane | Apple Pay"
"PayLane | Google Pay","PayLane | Google Pay"
"Yes","Tak"
"No","Nie"
"Other","Inny"
"API Login","API Login"
"Public API key","Publiczny klucz API"
"API Password","Hasło API"
"Error while processing order - please contact store administrator or try again","Nie udało się zrealizować zamówienia - skontaktuj się naszym Biurem Obsługi Klienta i spróbuj ponownie"
"Quote with provided ID doesn't exists","Koszyk z podanym ID nie istnieje"
"Handling message with PayLane Sale ID %1 for order #%2","Obsługiwanie wiadomości przez Paylane z ID %1 dla zamówienia #%2"
"Changed order status to: %1","Zmieniono status zamówienia na: %1"
"Notifications is a service that simplifies automatic communication between your shop and PayLane. A notification has information about payment status.<br><br> <h2><strong>It is Highly recommended to enable notifications</strong></h2><br> <strong>To enable notifications</strong>:<br>- Chose individual login and password and enter them below (it should be safe login and password,<strong>not the same as API login/password or merchant panel login/password</strong>)<br><br>- Send to us on e-mail (support@paylane.com) you notification login, password and notification address, <br>(Your notification address: <code>%1</code>)<br><br>We will send you Notification token to fill inside this field","Notyfikacje (powiadomienia) to informacje przesyłane przez system PayLane do Twojego sklepu. Notyfikacje zawierają informacje o statusach płatności.<br><br> <h2><strong>Zalecamy aby je włączyć</strong></h2><br> <strong>Co zrobić aby włączyć notyfikacje:</strong>:<br>- Wymyśl i wpisz poniżej login notyfikacji i hasło notyfikacji (<strong>nie ma być to login i hasło do logowania do sklepu ani do merchant panelu, ani też do API - ma to być zupełnie nowy login i hasło</strong>)<br><br>- Wyślij nam na adres support@paylane.com login notyfikacji, hasło notyfikacji oraz adres notyfikacji, <br> (Twój adres notyfikacji: <code>%s</code>)<br><br>My odeślemy Ci token notyfikacji, który musisz wpisać w poniższe pole."
"Payment could not be fulfilled. Please contact out support.","Płatność nie mogłą być zrealizowana. Prosimy o kontakt z Biurem Obsługi Klienta."
"No enrollment information provided","Nie podano informacji na temat 3DSecure"
"Authorize only","Tylko autoryzacja"
"Authorize & Capture (Sale)", "Autoryzacja i pobranie środków (sprzedaż)"
"Type your BLIK code","Podaj kod BLIK"
"You will be redirected to Apple Pay payment sheet after clicking button below","Zostaniesz przekierowany do karty Apple Pay po kliknięciu na poniższy przycisk"
"You will be redirected to Google Pay payment sheet after clicking button below","Zostaniesz przekierowany do karty Google Pay po kliknięciu na poniższy przycisk"
"Choose bank":"Wybierz bank"
"Choose country":"Wybierz kraj"
"Other bank":"Inny bank"
"Not confirmed":"Nie potwierdzona"
